customer_id,signup_date,country,age,gender,loyalty_tier,acquisition_channel
1,08-04-2021,BR,48,Male,Bronze,Referral
2,28-04-2023,IN,36,Female,Silver,Organic
3,18-12-2022,UK,35,Female,Silver,Organic
4,26-04-2022,US,45,Male,Silver,Paid Search
5,20-04-2022,IN,53,Male,Silver,Organic
6,30-07-2023,IN,31,Female,Bronze,Paid Search
7,05-04-2021,IN,35,Female,Silver,Social
8,03-02-2023,US,36,Male,Bronze,Organic
9,09-08-2021,BR,33,Female,Bronze,Paid Search
10,14-04-2021,US,36,Male,Bronze,Email
11,31-07-2022,CA,66,Male,Bronze,Email
12,05-12-2023,AU,32,Male,Bronze,Paid Search
13,17-03-2023,US,46,Male,Gold,Organic
14,14-04-2023,IN,27,Male,Silver,Paid Search
15,25-02-2023,UK,31,Male,Bronze,Paid Search
16,11-05-2023,AU,18,Male,Silver,Email
17,16-07-2022,BR,35,Female,Silver,Organic
18,21-05-2021,IN,22,Male,Silver,Paid Search
19,09-07-2023,AU,37,Female,Silver,Paid Search
20,09-05-2022,US,31,Male,Bronze,Paid Search
21,02-07-2022,US,19,Male,Bronze,Referral
22,11-02-2022,IN,34,Male,Silver,Organic
23,19-07-2021,CA,32,Male,Silver,Paid Search
24,12-10-2023,US,56,Female,Bronze,Email
25,06-05-2023,CA,37,Female,Silver,Paid Search
26,07-12-2022,US,22,Female,Bronze,Email
27,17-03-2022,US,39,Female,Silver,Organic
28,20-06-2023,AU,40,Male,Gold,Social
29,21-08-2022,DE,31,Male,Silver,Paid Search
30,01-05-2022,IN,33,Female,Bronze,Paid Search
31,09-05-2022,CA,42,Other,Platinum,Email
32,06-09-2021,IN,25,Male,Bronze,Paid Search
33,11-04-2021,US,53,Male,Gold,Referral
34,31-08-2022,IN,46,Male,Bronze,Organic
35,31-08-2023,AU,39,Female,Gold,Organic
36,11-03-2021,US,23,Male,Bronze,Social
37,29-07-2023,US,48,Female,Bronze,Organic
38,26-06-2023,CA,23,Female,Bronze,Organic
39,31-10-2021,IN,37,Female,Gold,Referral
40,23-11-2022,US,33,Male,Bronze,Email
41,30-06-2021,IN,42,Female,Platinum,Organic
42,11-04-2023,BR,32,Female,Gold,Organic
43,07-02-2023,US,24,Female,Bronze,Paid Search
44,24-01-2022,US,29,Female,Bronze,Organic
45,16-03-2021,IN,31,Other,Bronze,Organic
46,29-11-2023,IN,46,Male,Gold,Organic
47,04-05-2022,US,35,Male,Bronze,Paid Search
48,05-09-2023,UK,24,Female,Silver,Email
49,13-01-2023,UK,43,Male,Bronze,Email
50,03-05-2023,UK,41,Male,Bronze,Organic
51,13-04-2023,IN,27,Male,Bronze,Paid Search
52,02-08-2021,US,26,Male,Silver,Referral
53,03-02-2022,US,32,Female,Gold,Email
54,27-05-2022,BR,29,Male,Silver,Organic
55,30-06-2022,UK,43,Male,Bronze,Organic
56,17-02-2021,IN,36,Male,Bronze,Organic
57,22-08-2022,UK,25,Female,Bronze,Paid Search
58,18-06-2021,US,36,Female,Silver,Social
59,25-03-2023,BR,36,Male,Platinum,Organic
60,18-01-2023,DE,25,Male,Silver,Paid Search
61,08-10-2023,US,30,Male,Bronze,Paid Search
62,27-03-2023,US,38,Female,Bronze,Referral
63,06-02-2022,US,48,Male,Silver,Social
64,26-11-2023,US,42,Female,Gold,Email
65,26-03-2022,IN,27,Male,Silver,Paid Search
66,23-12-2021,US,49,Female,Bronze,Paid Search
67,19-09-2023,DE,30,Female,Silver,Email
68,10-02-2022,IN,41,Male,Bronze,Organic
69,25-03-2021,US,47,Male,Silver,Email
70,30-05-2022,US,40,Female,Silver,Social
71,22-05-2023,US,30,Female,Bronze,Social
72,27-07-2021,IN,38,Male,Silver,Email
73,22-05-2022,UK,38,Male,Bronze,Email
74,23-05-2021,IN,24,Male,Bronze,Paid Search
75,22-01-2023,US,32,Female,Bronze,Referral
76,05-06-2022,AU,42,Female,Gold,Social
77,28-12-2021,IN,30,Female,Bronze,Social
78,06-09-2021,IN,28,Male,Bronze,Social
79,11-09-2022,IN,18,Male,Bronze,Email
80,04-01-2023,US,19,Male,Bronze,Social
81,27-10-2023,DE,57,Male,Bronze,Paid Search
82,24-04-2022,DE,26,Male,Gold,Organic
83,25-06-2021,US,28,Female,Bronze,Referral
84,01-07-2023,US,46,Female,Bronze,Organic
85,21-11-2022,IN,25,Male,Silver,Social
86,06-02-2023,IN,30,Female,Silver,Social
87,17-04-2021,AU,44,Other,Bronze,Organic
88,09-12-2021,IN,36,Male,Gold,Organic
89,21-04-2023,BR,21,Male,Bronze,Referral
90,01-07-2023,US,29,Male,Bronze,Email
91,22-04-2022,UK,44,Female,Bronze,Paid Search
92,01-06-2023,US,32,Female,Bronze,Email
93,11-07-2023,AU,35,Male,Silver,Organic
94,01-03-2022,UK,35,Male,Bronze,Social
95,11-09-2023,DE,47,Male,Platinum,Organic
96,12-11-2021,US,26,Male,Bronze,Email
97,20-09-2021,IN,19,Male,Silver,Organic
