event_id,timestamp,customer_id,session_id,event_type,product_id,device_type,traffic_source,campaign_id,page_category,session_duration_sec,experiment_group
1,14-01-2021 13:35,43812,535101,view,1004,desktop,Email,43,PLP,115.1,Control
2,03-12-2021 21:36,71340,96426,add_to_cart,986,desktop,Email,10,PDP,32.4,Variant_A
3,27-12-2021 08:25,59540,220126,purchase,1630,mobile,Organic,0,PDP,190.7,Variant_A
4,22-01-2022 15:06,3601,484555,add_to_cart,1532,desktop,Paid Search,30,Checkout,134.8,Variant_B
5,10-05-2021 12:03,92735,60646,bounce,,desktop,Email,26,PLP,53.1,Variant_A
6,04-03-2022 11:41,3184,221551,click,628,desktop,Organic,0,PDP,36.8,Variant_A
7,27-01-2021 10:17,89606,569910,click,369,desktop,Organic,0,PDP,58.2,Variant_B
8,29-07-2023 00:49,59581,184066,view,713,mobile,Social,8,PDP,153.1,Control
9,06-06-2023 21:14,54871,179212,purchase,1901,mobile,Paid Search,21,PLP,121.1,Control
10,30-05-2023 05:56,55257,240165,add_to_cart,755,mobile,Direct,0,PLP,73.3,Control
11,06-09-2021 21:26,94678,294260,add_to_cart,1141,mobile,Organic,0,Home,12.8,Variant_B
12,24-08-2023 04:44,86107,176767,view,1173,mobile,Email,7,PDP,26.4,Variant_A
13,16-08-2023 01:32,16251,367937,view,1873,tablet,Social,48,PLP,203.6,Control
14,18-01-2021 19:38,28041,388445,click,1188,desktop,Social,9,PDP,178.8,Control
15,10-09-2022 07:05,8024,292502,bounce,,desktop,Organic,0,Checkout,33,Variant_B
16,16-07-2023 20:33,30501,36337,view,1337,mobile,Direct,0,Cart,297.9,Control
17,14-04-2021 13:12,47785,438870,add_to_cart,748,mobile,Organic,0,Checkout,52.4,Control
18,29-09-2022 17:11,76682,623341,add_to_cart,1672,mobile,Social,31,PDP,21,Variant_A
19,04-10-2021 19:02,81842,249671,view,618,desktop,Organic,0,Cart,227.7,Control
20,30-11-2023 19:08,69864,54913,view,1822,desktop,Direct,0,PLP,177.6,Control
21,09-02-2023 11:42,46077,517399,view,1151,mobile,Organic,0,PLP,62.8,Variant_B
22,31-08-2023 05:29,51818,496917,purchase,1884,desktop,Social,37,PLP,36.3,Variant_B
23,28-04-2021 09:05,94021,538528,add_to_cart,1636,mobile,Organic,0,Home,20.4,Control
24,22-04-2023 04:26,62038,490921,add_to_cart,726,mobile,Organic,0,PLP,224.1,Variant_B
25,10-03-2021 17:15,11194,232954,view,1544,desktop,Paid Search,9,PDP,542.9,Variant_B
26,21-01-2022 12:54,215,9383,view,1532,desktop,Organic,0,PLP,195.8,Control
27,20-08-2023 14:43,42469,647656,view,1767,mobile,Organic,0,Home,125.2,Variant_A
28,21-11-2023 11:03,74767,311678,click,336,mobile,Social,32,PLP,60.7,Control
29,03-11-2022 20:09,2900,298382,view,219,desktop,Paid Search,50,Home,440.2,Control
30,30-01-2022 19:11,6885,663197,bounce,,mobile,Paid Search,43,PDP,83.3,Variant_A
31,26-08-2022 19:57,2027,627208,view,458,mobile,Email,43,PLP,62.2,Variant_A
32,26-06-2022 20:33,18164,352305,purchase,1114,desktop,Email,13,PLP,103.3,Variant_A
33,22-01-2023 05:28,2679,191597,add_to_cart,728,mobile,PAID SEARCH,6,PLP,203.7,Variant_A
34,31-08-2022 04:45,5800,368500,bounce,,desktop,Organic,0,Checkout,135.6,Control
35,02-11-2021 06:43,24516,444876,view,1857,mobile,Email,12,PLP,109,Variant_A
36,15-09-2022 14:36,76706,625436,add_to_cart,1682,desktop,Organic,0,Checkout,104.8,Variant_B
37,06-04-2021 12:35,37006,409036,view,1536,desktop,Email,24,PLP,44.7,Variant_B
38,21-01-2021 14:42,36392,366493,view,1725,desktop,Organic,0,PDP,26.9,Control
39,17-06-2021 18:43,60729,286411,add_to_cart,226,mobile,Organic,0,PLP,36,Variant_B
40,27-03-2021 09:54,95397,586416,bounce,,mobile,Organic,0,Home,51.5,Control
41,25-01-2022 17:22,71806,189922,view,196,desktop,Organic,0,PLP,22.6,Variant_B
42,14-11-2022 14:01,27238,391218,add_to_cart,722,mobile,Social,22,PLP,175.9,Control
43,03-01-2022 05:14,25414,214167,view,374,mobile,DIRECT,0,PDP,74.6,Control
44,19-05-2022 06:03,35745,66313,bounce,,desktop,Organic,0,Checkout,48.4,Control
45,05-07-2021 21:34,85244,151680,bounce,,mobile,Organic,0,PLP,25.7,Variant_A
46,07-05-2021 18:33,6337,378695,add_to_cart,1683,desktop,Email,12,Cart,40.8,Control
47,05-12-2023 14:08,91993,45133,view,157,mobile,Paid Search,14,PDP,235.3,Control
48,21-05-2021 20:40,77764,389944,view,498,mobile,Organic,0,PDP,32.4,Control
49,26-09-2022 21:14,48406,657292,view,836,mobile,Paid Search,18,PDP,68.8,Variant_B
50,28-01-2021 08:28,22840,653764,click,1594,mobile,Paid Search,25,PDP,22.2,Variant_B
51,18-08-2022 12:12,57885,555649,click,91,desktop,Paid Search,49,Cart,78,Variant_B
52,23-12-2021 10:02,29758,585938,click,204,mobile,Organic,0,PLP,164.1,Control
