transaction_id,timestamp,customer_id,product_id,quantity,discount_applied,gross_revenue,campaign_id,refund_flag
1,27-12-2021 08:25,59540,1630,3,0,43.74,0,0
2,06-06-2023 21:14,54871,1901,3,0,174.78,21,0
3,31-08-2023 05:29,51818,1884,1,0,40.61,37,0
4,26-06-2022 20:33,18164,1114,2,0.15,68.76,13,0
5,26-07-2023 18:12,86915,408,1,0,14.64,4,0
6,19-01-2023 14:05,10749,1635,2,0,169.74,13,0
7,28-07-2023 09:37,25984,244,2,0,42.48,21,0
8,10-07-2022 07:29,85140,1296,1,0,36.95,2,0
9,02-11-2023 05:22,52930,1512,1,0,125.59,23,0
10,25-01-2021 06:28,69172,1433,1,0.15,48.72,44,0
11,27-06-2022 07:48,13992,154,2,0,94.7,13,0
12,04-04-2021 21:06,69122,781,1,0.2,-97.41,30,1
13,09-03-2023 15:36,45997,1513,1,0,100.76,43,0
14,03-05-2022 20:41,4344,1167,1,0,17.92,0,0
15,27-07-2021 16:22,30203,1099,1,0,123.87,46,0
16,13-02-2021 07:36,33154,,1,0.05,,29,0
17,27-08-2023 12:23,25737,1210,2,0.1,69.57,44,0
18,30-03-2023 16:42,75725,785,1,0,138.25,19,0
19,26-07-2021 14:10,11918,1960,1,0,251.08,19,0
20,31-07-2023 13:11,30583,899,1,0,-176.65,4,1
21,29-03-2023 19:49,52652,,1,0,,40,0
22,01-08-2021 15:47,30425,,1,0.15,,49,0
23,29-11-2022 12:58,58277,714,1,0,47.82,46,0
24,16-09-2022 14:44,34898,1813,1,0,18.39,36,0
25,03-11-2021 06:20,17574,780,3,0,178.05,33,0
26,26-01-2021 09:47,81956,561,1,0,73.88,21,0
27,03-09-2023 12:48,36945,1611,1,0.1,84.8,0,0
28,16-05-2022 14:05,91979,1,1,0.15,12.06,24,0
29,13-08-2022 07:29,2530,275,1,0.15,12.55,0,0
30,19-09-2021 16:44,25399,787,1,0.05,12.25,4,0
31,17-01-2022 13:07,5903,1461,1,0.2,26.79,34,0
32,24-08-2021 04:50,94982,386,1,0,28.55,0,0
33,27-09-2022 17:48,81409,814,1,0,27.33,37,0
34,07-05-2021 04:07,81957,722,1,0,45.88,24,0
35,27-12-2022 22:28,16728,1680,1,0.05,104.11,10,0
36,04-10-2022 07:05,2322,1129,1,0.1,59.99,14,0
37,28-11-2023 21:37,82265,1838,4,0,124.12,40,0
38,07-09-2023 05:51,6301,4,1,0.1,67.9,28,0
39,18-01-2021 20:52,29955,1543,1,0.1,39.83,0,0
40,21-02-2021 22:44,3897,966,1,0,71.93,0,0
41,02-12-2022 15:37,83860,408,1,0,14.64,38,0
42,28-04-2023 08:34,69804,42,3,0.15,197.45,27,0
43,05-09-2021 18:58,90703,1677,1,0.2,51.09,22,0
44,11-03-2021 22:04,91593,1236,1,0.15,78.91,16,0
45,04-12-2023 20:24,64997,460,1,0,55.97,1,0
46,17-05-2022 18:28,70071,773,1,0,60,5,0
47,22-10-2021 08:28,84477,1035,1,0,62.29,31,0
48,18-11-2021 16:02,18030,1056,1,0.1,55.4,31,0
49,23-12-2023 07:08,29815,98,1,0,79.4,16,0
50,11-11-2021 20:27,38085,558,1,0,146.29,18,0
51,21-09-2022 14:44,88270,457,3,0.1,71.52,16,0
52,06-08-2023 15:34,88590,747,1,0,41.36,13,0
53,25-01-2021 13:56,92155,841,1,0,44.12,7,0
54,16-07-2022 10:31,18777,1321,1,0.05,132.92,45,0
55,23-05-2022 10:01,26849,355,1,0,63.61,43,0
56,13-06-2023 04:11,1280,,3,0.15,,0,0
57,24-07-2023 18:14,12129,813,1,0.1,10.81,2,0
58,23-07-2022 20:38,32032,,1,0.05,,13,0
59,27-07-2021 16:12,23261,114,1,0.05,60.13,39,0
60,04-03-2022 23:55,69136,1733,1,0,22.72,8,0
61,28-05-2021 03:50,51876,1093,1,0,71.1,32,0
62,26-10-2021 11:12,89622,698,1,0.05,57.32,35,0
63,23-12-2022 12:38,96081,671,1,0.15,84.38,39,0
64,28-09-2021 17:12,48071,248,1,0,44.57,8,0
65,06-03-2023 20:03,24473,375,1,0.15,8.02,8,0
66,02-05-2023 08:21,34929,613,2,0,60.88,45,0
67,01-09-2022 14:54,42861,1088,1,0,60.06,21,0
68,25-03-2022 17:32,28452,1202,1,0,60.2,32,0
69,30-04-2022 17:33,66995,1691,2,0,147.3,13,0
70,08-07-2022 15:55,73328,1809,1,0,97.21,49,0
71,16-06-2023 14:48,98281,,1,0,,38,0
72,24-04-2023 06:26,49399,736,1,0,10.13,0,0
73,31-08-2022 07:06,45874,352,1,0.05,10.09,3,0
74,19-12-2021 01:50,42309,1321,1,0.1,125.93,20,0
75,23-04-2023 05:16,68810,362,1,0,137.36,44,0
76,13-01-2021 17:24,15162,163,3,0.2,197.02,6,0
77,06-08-2023 13:53,79934,1715,1,0.1,64.71,0,0
78,21-06-2022 16:58,61465,1883,1,0.15,21.11,5,0
79,19-01-2022 22:58,74249,103,1,0.05,64.07,0,0
80,16-04-2023 18:29,56933,1025,1,0,97.87,44,0
81,31-10-2021 04:51,52034,1122,1,0,55.07,35,0
82,01-06-2022 22:05,7319,1880,2,0,53.46,48,0
83,16-09-2021 20:30,99840,105,1,0.05,81.48,13,0
84,18-08-2021 07:33,14316,1433,1,0,57.32,40,0
85,15-01-2021 12:43,25867,1543,3,0,132.75,14,0
86,10-10-2021 16:40,8983,1903,1,0.15,49.03,15,0
87,13-04-2021 15:54,68463,686,1,0,133.2,16,0
88,25-01-2023 20:28,42213,1709,1,0.1,-46.32,9,1
89,10-10-2022 15:51,80661,230,1,0.1,85.15,42,0
90,07-08-2021 19:36,92375,1413,1,0,52.91,0,0
91,12-12-2021 13:07,77759,380,1,0,116.8,2,0
92,31-08-2022 06:02,69456,1966,2,0,544.88,7,0
93,05-08-2023 09:27,43834,213,1,0,45.75,50,0
94,24-05-2023 06:31,43424,1572,1,0.1,20.74,15,0
95,29-11-2023 16:42,25556,1796,2,0,206.96,16,0
96,03-11-2021 18:21,2502,952,4,0.05,322.7,18,0
97,04-11-2023 18:12,89129,,1,0,,21,1
98,10-12-2021 05:38,1885,358,3,0,347.82,0,0
99,13-09-2021 11:18,2817,,4,0.05,,45,0
100,24-02-2023 11:20,83870,,1,0,,18,0
101,21-01-2023 07:15,55614,1617,2,0,124.26,17,0
102,22-11-2021 20:51,87434,1140,2,0,211.88,29,0
103,27-03-2022 04:22,50598,1189,1,0,23.91,45,0
104,26-09-2021 07:26,6832,300,1,0.2,61.06,16,0
105,11-07-2021 07:02,43544,1923,1,0,56.48,14,0
106,16-05-2021 22:05,37469,1344,1,0.2,10.4,42,0
107,13-03-2022 10:40,64614,1828,1,0,70.58,9,0
108,04-07-2022 07:29,60635,1731,4,0,537.48,0,0
109,27-12-2021 21:48,99104,1563,1,0,106.29,28,0
110,17-05-2022 05:37,3708,,2,0.1,,0,0
111,15-08-2021 14:18,31530,1206,1,0,14.9,38,0
112,31-12-2023 15:59,41424,202,1,0,42.74,7,0
113,07-10-2021 06:49,26705,1518,2,0.2,139.12,0,0
114,15-04-2021 03:32,15676,1663,1,0,160.51,18,0
115,22-05-2021 08:56,18464,1596,1,0.1,22.23,0,0
116,09-08-2022 13:14,71866,1624,1,0,51,28,0
117,28-12-2021 08:37,64563,1390,1,0,74.12,24,0
118,04-08-2021 12:37,4200,1691,1,0,73.65,41,0
119,06-08-2023 12:40,70728,897,1,0,50.23,5,0
120,23-09-2022 15:27,24374,1631,1,0.05,54.37,1,0
121,13-12-2022 16:08,94811,1812,1,0,59.43,0,0
122,23-08-2021 20:46,16626,443,1,0,148.63,29,0
123,26-05-2022 16:44,70122,1294,1,0,54.57,32,0
124,15-01-2023 20:05,17572,1621,1,0.1,77.48,38,0
125,01-07-2022 09:26,46053,988,1,0.15,57.3,4,0
126,16-12-2021 00:15,73295,1223,1,0.05,79.32,38,0
127,17-05-2023 01:47,5711,789,1,0.1,14.5,41,0
128,17-10-2021 16:47,31683,417,3,0.1,268.11,38,0
129,23-05-2021 16:32,37161,1208,1,0,25.42,17,0
130,29-06-2021 17:20,92091,503,1,0.2,97.1,8,0
131,29-07-2021 07:05,71968,239,1,0.05,39.2,49,0
132,14-03-2021 13:55,14197,57,1,0.05,172.85,0,0
133,10-07-2022 06:37,24828,322,2,0.1,75.62,29,0
134,20-01-2021 02:50,29802,1786,1,0,11.89,0,0
135,20-11-2022 09:29,39611,1214,1,0.05,35.63,0,0
136,13-11-2022 06:43,88196,1605,3,0.1,504.66,4,0
137,16-03-2021 04:36,57070,542,1,0.15,48.82,11,0
138,09-09-2021 10:57,29284,70,1,0,127.77,21,0
139,26-05-2022 08:35,16830,1565,1,0,49.38,50,0
140,18-06-2021 18:11,71300,812,2,0,304.96,0,0
141,19-04-2022 07:01,51594,1201,2,0,95.62,5,0
142,29-11-2021 06:59,82932,1853,1,0,92.26,29,0
143,18-07-2023 08:08,74278,1555,1,0,65.12,6,0
144,17-01-2021 19:16,8095,648,1,0.05,106.79,0,0
145,19-06-2023 20:56,40384,,1,0.05,,14,0
